5. Chorea 5,Anglica[Lady Laiton's Almain],John Dowland,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.2a,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",FM,3,7-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/02.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/05_chorea_05_lady_laitons_almain_dowland.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/05_chorea_05_lady_laitons_almain_dowland.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/05_chorea_05_lady_laitons_almain_dowland.mid,1573937577,1588630222
7. Chorea 7,Reinwaldi,Victor de Montbuisson?,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.2va,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",FM,2,7-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/02v.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/07_chorea_reinwaldi_anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/07_chorea_reinwaldi_anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/07_chorea_reinwaldi_anon.mid,1573937577,1588630222
8. Chorea 8,Polonica,Anonymous,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.2vb,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, polish dance",FM,3,6-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/02v.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/08_chorea_polonica_anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/08_chorea_polonica_anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/08_chorea_polonica_anon.mid,1573937577,1588630222
9. Chorea 9,,Matth�us Reymann,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.3a,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",CM,2,6-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/03.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/09_chorea_09_reymann.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/09_chorea_09_reymann.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/09_chorea_09_reymann.mid,1573937577,1622249248
10. Chorea 10,Nobilis,Anonymous,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.3b,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",FM,2,7-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/03.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/10_chorea_10_nobilis_anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/10_chorea_10_nobilis_anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/10_chorea_10_nobilis_anon.mid,1573937577,1588630222
11. Chorea 11,Klapper Tantz,Anonymous,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.3c,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",BbM,2,7-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/03.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/11_chorea_11_klapper_tantz_anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/11_chorea_11_klapper_tantz_anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/11_chorea_11_klapper_tantz_anon.mid,1573937577,1588630222
12. Chorea 12,Zeinertantz,Anonymous,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.3va,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",FM,2,7-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/03v.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/12_chorea_12_zeiner_tantz_anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/12_chorea_12_zeiner_tantz_anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/12_chorea_12_zeiner_tantz_anon.mid,1573937577,1588630222
13. Chorea 13,Heyducken tantz,Anonymous,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.3vb,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",FM,2,7-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/03v.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/13_chorea_13_heyducken_tantz_anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/13_chorea_13_heyducken_tantz_anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/13_chorea_13_heyducken_tantz_anon.mid,1573937577,1588630222
14. Chorea 14,Canarien Tantz,Anonymous,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.3vc,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",CM,2,6-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/03v.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/14_chorea_14_canarien_tantz_anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/14_chorea_14_canarien_tantz_anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/14_chorea_14_canarien_tantz_anon.mid,1573937577,1588630222
15. Chorea 15,Sch�fertantz,Anonymous,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.4a,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",CM,2,6-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/04.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/15_chorea_15_schafertantz_anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/15_chorea_15_schafertantz_anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/15_chorea_15_schafertantz_anon.mid,1573937577,1588630222
16. Chorea 16,Pauren Tantz,Anonymous,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.4b,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",FM,2,7-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/04.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/16_chorea_16_pauren_tantz_anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/16_chorea_16_pauren_tantz_anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/16_chorea_16_pauren_tantz_anon.mid,1573937577,1588630222
17. Chorea 17,Todten Tantz,Anonymous,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.4va,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",CM,2,6-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/04v.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/17_chorea_17_todten_tantz_anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/17_chorea_17_todten_tantz_anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/17_chorea_17_todten_tantz_anon.mid,1573937577,1588630222
19. Chorea 19,Turcarum,Anonymous,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.4vc,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",Dm,3,8-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/04v.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/19_chorea_19_turcarum_anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/19_chorea_19_turcarum_anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/19_chorea_19_turcarum_anon.mid,1573937577,1588630222
20. Chorea 20,Anglica[Hunt's up],Anonymous,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.5,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",FM,2,7-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/05.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/20_chorea_20_hunts_up_anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/20_chorea_20_hunts_up_anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/20_chorea_20_hunts_up_anon.mid,1573937577,1588630222
21. Chorea 21,,Anonymous,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.5va,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",FM,3,7-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/05v.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/21_chorea_21_anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/21_chorea_21_anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/21_chorea_21_anon.mid,1573937577,1588630222
22. Chorea 22,Anglica,Anonymous,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.5vb,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",Fm,3,7-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/05v.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/22_chorea_22_anglica_anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/22_chorea_22_anglica_anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/22_chorea_22_anglica_anon.mid,1573937577,1588630222
23. Chorea 23,,Anonymous,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.6,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",CM,2,7-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/06.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/23_chorea_23__anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/23_chorea_23__anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/23_chorea_23__anon.mid,1573937577,1588630222
25. Chorea 25,Lepida,Anonymous,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.7,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",GM,3,6-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/07.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/25_chorea_25_lepida_anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/25_chorea_25_lepida_anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/25_chorea_25_lepida_anon.mid,1573937577,1588630222
26. Chorea 26,Pulchra,Anonymous,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.7va,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",FM,2,7-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/07v.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/26_chorea_26_pulchra_anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/26_chorea_26_pulchra_anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/26_chorea_26_pulchra_anon.mid,1573937577,1588630222
27. Chorea 27,,Anonymous,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.7vb,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",GM,2,6-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/07v.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/27_chorea_27_anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/27_chorea_27_anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/27_chorea_27_anon.mid,1573937578,1588630222
28. Chorea 28,Als ein Student spazieret,Anonymous,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.7vc,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",Gm,2,6-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/07v.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/28_chorea_28_als_ein_student_spaziret_anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/28_chorea_28_als_ein_student_spaziret_anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/28_chorea_28_als_ein_student_spaziret_anon.mid,1573937578,1588630222
29. Chorea 29,Anglica,Anonymous,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.8a,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",FM,2,7-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/08.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/29_chorea_29_anglica_anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/29_chorea_29_anglica_anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/29_chorea_29_anglica_anon.mid,1573937578,1588630222
30. Chorea 30,,Anonymous,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.8b,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",Gm,3,7-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/08.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/30_chorea_30_anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/30_chorea_30_anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/30_chorea_30_anon.mid,1573937578,1588630222
31. Chorea 31,Lepida,Anonymous,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.8v,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",Gm,3,7-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/08v.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/31_chorea_31_lepida_anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/31_chorea_31_lepida_anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/31_chorea_31_lepida_anon.mid,1573937578,1588630222
32. Calvinischer Tantz,,Anonymous,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.9a,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",CM,3,6-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/09.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/32_calvinischer_tantz_anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/32_calvinischer_tantz_anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/32_calvinischer_tantz_anon.mid,1573937578,1588630222
33. Chorea 32,Kleine M�gdtlein,Anonymous,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.9b,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",GM,2,6-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/09.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/33_chorea_32_kleine_magdtlein_anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/33_chorea_32_kleine_magdtlein_anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/33_chorea_32_kleine_magdtlein_anon.mid,1573937578,1588630222
34. Chorea 33,Wittenbergensis,Anonymous,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.9va,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",Dm,3,6-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/09v.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/34_chorea_33_wittenbergensis_anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/34_chorea_33_wittenbergensis_anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/34_chorea_33_wittenbergensis_anon.mid,1573937578,1588630222
35. Chorea 34,,Anonymous,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.9vb,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",FM,3,7-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/09v.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/35_chorea_34_anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/35_chorea_34_anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/35_chorea_34_anon.mid,1573937578,1588630222
36. Chorea 35,,Anonymous,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.10,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",Dm,3,7-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/10.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/36_chorea_35_anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/36_chorea_35_anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/36_chorea_35_anon.mid,1573937578,1588630222
37. Chorea 36,,Anonymous,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.10v,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",GM,3,6-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/10v.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/37_chorea_36_anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/37_chorea_36_anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/37_chorea_36_anon.mid,1573937578,1588630222
38. Chorea 37,,Anonymous,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.11,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",Cm,3,7-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/11.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/38_chorea_37_anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/38_chorea_37_anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/38_chorea_37_anon.mid,1573937578,1588630222
38. Chorea 37,Olim quodam die[Once a day],Anonymous,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.11v,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",CM,3,7-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/11v.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/39_chorea_38_olim_quodam_die_anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/39_chorea_38_olim_quodam_die_anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/39_chorea_38_olim_quodam_die_anon.mid,1573937577,1588630222
40. Chorea 39,Anglica,Anonymous,,D-LEm:Leipzig State Music Library,ms ii.6.15:Dlugorai lute book,10,1619,f.12,Sarge Gerbode,Sarge Gerbode,,,,,,,"chorea, allemande",CM,2,6-course,,,,https://lutemusic.org/facsimiles/D-LEm_Leipzig_State_Music_Library/ms_ii.6.15_Dlugorai_lute_book/v.10_1619/12.png,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/40_chorea_39_anglica_anon.ft3,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/pdf/40_chorea_39_anglica_anon.pdf,https://lutemusic.org/sources/D-LEm_leipzig_state_music_library/dlugorai_lute_book_1619/10_choreae/midi/40_chorea_39_anglica_anon.mid,1573937577,1588630222
