15. Lacrimae,In Gm,John Dowland,,GB-Cu:Cambridge University Library,Dd.5.78.3,,1600,"ff.9v,21a",Sarge Gerbode,Sarge Gerbode,,,,,15. Lacrimae (in G),,pavane,Gm,5,8-course,,,,https://lutemusic.org/facsimiles/GB-Cu_Cambridge_University_Library/Dd.5.78.3_1600/09v.png,https://lutemusic.org/composers/Dowland/15_lachrimae_in_G.ft3,https://lutemusic.org/composers/Dowland/pdf/15_lachrimae_in_G.pdf,https://lutemusic.org/composers/Dowland/midi/15_lachrimae_in_G.mid,1573937414,1658865901
"62. Fortune, my foe",In Dm,John Dowland,,GB-Cu:Cambridge University Library,Dd.4.22,,1600,f.11v,Sarge Gerbode,Sarge Gerbode,,,,,,,vocal intabulation,Dm,3,8-course,,Poulton #62,,,https://lutemusic.org/composers/Dowland/62_fortune_my_foe.ft3,https://lutemusic.org/composers/Dowland/pdf/62_fortune_my_foe.pdf,https://lutemusic.org/composers/Dowland/midi/62_fortune_my_foe.mid,1573937414,1658865902
"63. Fortune, my foe",In Gm,John Dowland,,GB-Cu:Cambridge University Library,Dd.2.11b,,1600,f.56b,Sarge Gerbode,Gian Luca Lastraioli,,,,,63. Complaint,,vocal intabulation,Gm,2,6-course,,,,https://lutemusic.org/facsimiles/GB-Cu_Cambridge_University_Library/Dd.2.11b_1600/056.png,https://lutemusic.org/composers/Dowland/63_fortune_my_foe.ft3,https://lutemusic.org/composers/Dowland/pdf/63_fortune_my_foe.pdf,https://lutemusic.org/composers/Dowland/midi/63_fortune_my_foe.mid,1573937414,1658865902
67b. Walsingham,,John Dowland,,US-NH:Yale University Music Library,Music_deposit_1_Wickhambrook_lute_ms,,1595,f.17c,Sarge Gerbode,Sarge Gerbode,,,,,,,"galliard, popular melody",BbM,3,6-course,,,,https://lutemusic.org/facsimiles/US-NH_Yale_University_Music_Library/Music_deposit_1_Wickhambrook_lute_ms_1595/17.png,https://lutemusic.org/composers/Dowland/67b_walsingham.ft3,https://lutemusic.org/composers/Dowland/pdf/67b_walsingham.pdf,https://lutemusic.org/composers/Dowland/midi/67b_walsingham.mid,1573937414,1656866787
All downbeats played with thumb strumming,,Pat O'Brian,,Pat O'Brian,Private communication,,2011,%3,Sarge Gerbode,Sarge Gerbode,,,,,"Right Hand Exercises, 2011",,exercise,Gm,1,6-course,,,,,https://lutemusic.org/composers/Exercises/righthand_2011.ft3,https://lutemusic.org/composers/Exercises/pdf/righthand_2011.pdf,https://lutemusic.org/composers/Exercises/midi/righthand_2011.mid,1573937436,1590285170
Suite in D minor,2. Sarabande,Johann Gumprecht,,PL-Kj:Uniwersytet Jagiellonski,MS 40637:Krak�w MS,,c.1600,%1,Sarge Gerbode,Mathias R�sel,,,,,Suite in D minor,2. Sarabande,"suite, sarabande",Dm,3,11-course baroque,,,,,https://lutemusic.org/composers/Gumprecht/suite_Dm/02_sarabande.ft3,https://lutemusic.org/composers/Gumprecht/suite_Dm/pdf/02_sarabande.pdf,https://lutemusic.org/composers/Gumprecht/suite_Dm/midi/02_sarabande.mid,1573937418,1658865903
Suite in D minor,3. Allemande,Johann Gumprecht,,PL-Kj:Uniwersytet Jagiellonski,MS 40637:Krak�w MS,,c.1600,%1,Sarge Gerbode,Mathias R�sel,,,,,Suite in D minor,3. Allemande,"suite, allemande",Dm,3,11-course baroque,,,,,https://lutemusic.org/composers/Gumprecht/suite_Dm/03_allemande.ft3,https://lutemusic.org/composers/Gumprecht/suite_Dm/pdf/03_allemande.pdf,https://lutemusic.org/composers/Gumprecht/suite_Dm/midi/03_allemande.mid,1573937418,1658865903
Suite in D minor,5. Courante,Johann Gumprecht,,PL-Kj:Uniwersytet Jagiellonski,MS 40637:Krak�w MS,,c.1600,%1,Sarge Gerbode,Mathias R�sel,,,,,Suite in D minor,5. Courante,"suite, courante",Dm,3,11-course baroque,,,,,https://lutemusic.org/composers/Gumprecht/suite_Dm/05_courante.ft3,https://lutemusic.org/composers/Gumprecht/suite_Dm/pdf/05_courante.pdf,https://lutemusic.org/composers/Gumprecht/suite_Dm/midi/05_courante.mid,1573937418,1658865903
Suite in D minor,6. Sarabande,Johann Gumprecht,,PL-Kj:Uniwersytet Jagiellonski,MS 40637:Krak�w MS,,c.1600,%1,Sarge Gerbode,Mathias R�sel,,,,,Suite in D minor,6. Sarabande,"suite, sarabande",Dm,3,11-course baroque,,,,,https://lutemusic.org/composers/Gumprecht/suite_Dm/06_sarabande.ft3,https://lutemusic.org/composers/Gumprecht/suite_Dm/pdf/06_sarabande.pdf,https://lutemusic.org/composers/Gumprecht/suite_Dm/midi/06_sarabande.mid,1573937418,1658865903
Suite en D la r� sol,4. Double,Nicolas A. Leb�gue,,Nicolas A. Leb�gue,Second livre de clavessin,,1687,#1,Mathias R�sel,Mathias R�sel,Mathias R�sel,,,,Suite in D la re sol,4. Double,"courante, double",Dm,3,11-course baroque,,,,,https://lutemusic.org/composers/Lebeque/suite_en_d_la_re_sol/04_double.ft3,https://lutemusic.org/composers/Lebeque/suite_en_d_la_re_sol/pdf/04_double.pdf,https://lutemusic.org/composers/Lebeque/suite_en_d_la_re_sol/midi/04_double.mid,1573937420,1658865904
